id,year,month,day,dep_time,sched_dep_time,arr_time,sched_arr_time,flight,origin,dest,air_time,distance,hour,minute,name,flight_cost
0,2013,1,1,517,515,830,819,1545,EWR,IAH,227,1400,5,15,United Air Lines Inc.,1716
1,2013,1,1,533,529,850,830,1714,LGA,IAH,227,1416,5,29,United Air Lines Inc.,6979
2,2013,1,1,542,540,923,850,1141,JFK,MIA,160,1089,5,40,American Airlines Inc.,8817
3,2013,1,1,544,545,1004,1022,725,JFK,BQN,183,1576,5,45,JetBlue Airways,3631
4,2013,1,1,554,600,812,837,461,LGA,ATL,116,762,6,0,Delta Air Lines Inc.,8430
5,2013,1,1,554,558,740,728,1696,EWR,ORD,150,719,5,58,United Air Lines Inc.,8193
6,2013,1,1,555,600,913,854,507,EWR,FLL,158,1065,6,0,JetBlue Airways,5157
7,2013,1,1,557,600,709,723,5708,LGA,IAD,53,229,6,0,ExpressJet Airlines Inc.,6307
8,2013,1,1,557,600,838,846,79,JFK,MCO,140,944,6,0,JetBlue Airways,5600
9,2013,1,1,558,600,753,745,301,LGA,ORD,138,733,6,0,American Airlines Inc.,8276
10,2013,1,1,558,600,849,851,49,JFK,PBI,149,1028,6,0,JetBlue Airways,9456
11,2013,1,1,558,600,853,856,71,JFK,TPA,158,1005,6,0,JetBlue Airways,2608
12,2013,1,1,558,600,924,917,194,JFK,LAX,345,2475,6,0,United Air Lines Inc.,1934
13,2013,1,1,558,600,923,937,1124,EWR,SFO,361,2565,6,0,United Air Lines Inc.,1388
14,2013,1,1,559,600,941,910,707,LGA,DFW,257,1389,6,0,American Airlines Inc.,3920
15,2013,1,1,559,559,702,706,1806,JFK,BOS,44,187,5,59,JetBlue Airways,4662
16,2013,1,1,559,600,854,902,1187,EWR,LAS,337,2227,6,0,United Air Lines Inc.,1774
17,2013,1,1,600,600,851,858,371,LGA,FLL,152,1076,6,0,JetBlue Airways,1707
18,2013,1,1,600,600,837,825,4650,LGA,ATL,134,762,6,0,Envoy Air,1410
19,2013,1,1,601,600,844,850,343,EWR,PBI,147,1023,6,0,JetBlue Airways,8856
20,2013,1,1,602,610,812,820,1919,LGA,MSP,170,1020,6,10,Delta Air Lines Inc.,9232
21,2013,1,1,602,605,821,805,4401,LGA,DTW,105,502,6,5,Envoy Air,8401
22,2013,1,1,606,610,858,910,1895,EWR,MIA,152,1085,6,10,American Airlines Inc.,1861
23,2013,1,1,606,610,837,845,1743,JFK,ATL,128,760,6,10,Delta Air Lines Inc.,4668
24,2013,1,1,607,607,858,915,1077,EWR,MIA,157,1085,6,7,United Air Lines Inc.,5743
25,2013,1,1,608,600,807,735,3768,EWR,ORD,139,719,6,0,Envoy Air,4747
26,2013,1,1,611,600,945,931,303,JFK,SFO,366,2586,6,0,United Air Lines Inc.,7794
27,2013,1,1,613,610,925,921,135,JFK,RSW,175,1074,6,10,JetBlue Airways,2615
28,2013,1,1,615,615,1039,1100,709,JFK,SJU,182,1598,6,15,JetBlue Airways,1775
29,2013,1,1,615,615,833,842,575,EWR,ATL,120,746,6,15,Delta Air Lines Inc.,9064
